Week,WeekStart,Symbol,H1_Bars_Above20,H1_Total_Bars,H1_Pct_Above20,H1_Range_Pips,H1_AvgADX,H1_MaxADX,H4_Bars_Above20,H4_Total_Bars,H4_Pct_Above20,H4_Bars_Above30,H4_Pct_Above30,H4_Range_Pips,H4_AvgADX,H4_MaxADX
2025-W50,2025.12.08,USDJPY,96,120,80.0,205.2,27.29,44.66,6,30,20.0,0,0.0,71.0,17.38,21.72
2025-W51,2025.12.15,USDJPY,82,120,68.3,336.9,22.79,40.81,0,30,0.0,0,0.0,0.0,14.96,19.23
2025-W52,2025.12.22,USDJPY,67,96,69.8,214.9,26.13,41.58,7,24,29.2,0,0.0,128.2,18.05,22.37
2026-W01,2025.12.29,USDJPY,24,95,25.3,124.8,17.19,25.05,0,26,0.0,0,0.0,0.0,13.21,15.65
2026-W02,2026.01.05,USDJPY,18,120,15.0,207.6,14.38,33.88,1,30,3.3,0,0.0,23.4,10.82,20.81
2026-W03,2026.01.12,USDJPY,58,120,48.3,193.9,20.73,33.55,30,30,100.0,20,66.7,193.9,32.41,40.65
2026-W04,2026.01.19,USDJPY,19,120,15.8,188.5,14.59,25.30,11,30,36.7,0,0.0,188.5,19.05,25.26
2026-W05,2026.01.26,USDJPY,53,120,44.2,318.5,20.55,35.17,22,30,73.3,0,0.0,278.5,21.34,24.55
2026-W06,2026.02.02,USDJPY,81,120,67.5,278.8,26.15,39.17,29,30,96.7,14,46.7,278.8,29.69,38.60
2026-W07,2026.02.09,USDJPY,56,120,46.7,373.8,20.21,34.96,30,30,100.0,13,43.3,539.1,29.62,38.04
2026-W08,2026.02.16,USDJPY,17,120,14.2,100.0,14.82,25.31,14,30,46.7,0,0.0,302.4,20.49,29.60
2026-W09,2026.02.23,USDJPY,0,120,0.0,0.0,14.13,18.99,25,30,83.3,1,3.3,282.4,25.82,30.05
2026-W10,2026.03.02,USDJPY,55,121,45.5,114.1,19.77,30.42,12,31,38.7,0,0.0,111.3,19.77,25.20
2026-W11,2026.03.09,USDJPY,31,120,25.8,179.6,18.42,33.17,24,31,77.4,0,0.0,246.5,22.10,25.77
2026-W12,2026.03.16,USDJPY,71,120,59.2,238.6,20.93,30.34,3,31,9.7,0,0.0,57.6,18.03,22.44
2026-W13,2026.03.23,USDJPY,81,119,68.1,221.2,26.22,42.70,12,30,40.0,4,13.3,112.9,20.56,34.43
2026-W14,2026.03.30,USDJPY,65,120,54.2,219.1,21.44,32.71,21,30,70.0,4,13.3,219.1,23.39,35.05
2026-W15,2026.04.06,USDJPY,64,120,53.3,148.8,20.30,36.50,0,30,0.0,0,0.0,0.0,13.63,16.26
