Week,WeekStart,Symbol,H1_Bars_Above20,H1_Total_Bars,H1_Pct_Above20,H1_Range_Pips,H1_AvgADX,H1_MaxADX,H4_Bars_Above20,H4_Total_Bars,H4_Pct_Above20,H4_Bars_Above30,H4_Pct_Above30,H4_Range_Pips,H4_AvgADX,H4_MaxADX,ADX_Score_v1,H4_Vel_Pos_Pct,ATR_Ratio,ATR_Phase,Score_Axis_A,Score_Axis_B,Score_Axis_C,ADX_Score_v3,Score_Band_v3
2026-W05,2026.01.26,XAUUSD,95,115,82.6,,33.1,,,30,0.0,,0.0,,44.4,,84.7,70.0,5.41,PEAK_CONT,40.0,18.0,20.5,78.5,OPTIMAL
2026-W06,2026.02.02,XAUUSD,97,115,84.3,,30.93,,,30,0.0,,0.0,,23.61,,50.4,6.7,3.058,PEAK_FALL,10.0,12.0,11.2,33.2,CAUTION
2026-W07,2026.02.09,XAUUSD,79,115,68.7,,26.58,,,30,0.0,,0.0,,16.61,,52.9,53.3,1.393,PEAK_FALL,33.0,12.0,5.0,50.0,WATCH
2026-W08,2026.02.16,XAUUSD,7,113,6.2,,21.65,,,30,0.0,,0.0,,17.6,,45.1,40.0,0.888,BOTTOM_CONT,25.0,35.0,2.3,62.3,GOOD
2026-W09,2026.02.23,XAUUSD,47,115,40.9,,29.48,,,30,0.0,,0.0,,20.54,,53.7,33.3,0.929,NORMAL_RISE,22.0,5.0,8.8,35.8,CAUTION
2026-W10,2026.03.02,XAUUSD,50,115,43.5,,29.12,,,30,0.0,,0.0,,16.49,,48.8,30.0,1.06,NORMAL_RISE,22.0,5.0,6.6,33.6,CAUTION
2026-W11,2026.03.09,XAUUSD,44,115,38.3,,25.01,,,30,0.0,,0.0,,13.9,,52.7,63.3,0.872,BOTTOM_CONT,40.0,35.0,3.3,78.3,OPTIMAL
2026-W12,2026.03.16,XAUUSD,75,115,65.2,,28.72,,,30,0.0,,0.0,,35.74,,82.2,90.0,1.483,PEAK_CONT,28.0,18.0,15.6,61.6,GOOD
2026-W13,2026.03.23,XAUUSD,43,115,37.4,,25.21,,,30,0.0,,0.0,,36.74,,64.6,36.7,1.122,HIGH_FALL,22.0,13.0,13.8,48.8,WATCH
2026-W14,2026.03.30,XAUUSD,49,92,53.3,,30.47,,,24,0.0,,0.0,,22.72,,58.9,41.7,1.218,HIGH_CONT,25.0,8.0,10.5,43.5,CAUTION
2026-W15,2026.04.06,XAUUSD,29,115,25.2,,24.03,,,30,0.0,,0.0,,17.72,,41.1,16.7,0.825,BOTTOM_CONT,10.0,35.0,3.9,48.9,WATCH
2026-W16,2026.04.13,XAUUSD,32,115,27.8,,26.33,,,30,0.0,,0.0,,19.29,,56.0,56.7,0.677,BOTTOM,33.0,25.0,6.2,64.2,GOOD
2026-W17,2026.04.20,XAUUSD,0,23,0.0,,0.0,,,6,0.0,,0.0,,20.34,,34.7,0.0,0.771,BOTTOM_TURN,10.0,28.0,2.6,40.6,CAUTION
